1,1,123.43,334.97,131.44,56.41999999999996,1,1,1.0
1,2,735.05,266.27,68.82000000000005,41.18000000000001,1,1,1.0
1,3,209.34,250.93,93.13000000000002,40.02999999999997,1,1,1.0
2,1,98.7,338.61,134.25,56.41999999999996,1,1,1.0
2,2,720.72,268.3,70.12,41.18000000000001,1,1,1.0
2,3,209.33,251.0,93.12999999999997,40.02999999999997,1,1,1.0
3,1,74.2,342.82,136.14,56.410000000000025,1,1,1.0
3,2,706.4,270.33,71.40999999999997,41.18000000000001,1,1,1.0
3,3,209.32,251.07,93.13,40.03000000000003,1,1,1.0
4,1,49.1,346.4,138.0,59.200000000000045,1,1,1.0
4,2,692.07,272.36,72.70999999999992,41.18000000000001,1,1,1.0
4,3,209.31,251.14,93.13,40.03000000000003,1,1,1.0
5,1,24.07,349.97,138.66,58.799999999999955,1,1,1.0
5,2,677.75,274.39,74.0,41.18000000000001,1,1,1.0
5,3,209.3,251.21,93.13,40.03,1,1,1.0
6,1,0.0,353.53,139.68,58.410000000000025,1,1,1.0
6,2,663.42,276.42,75.29000000000008,41.18000000000001,1,1,1.0
6,3,209.29,251.28,93.13000000000002,40.03,1,1,1.0
7,1,0.0,357.1,116.62,60.799999999999955,1,1,1.0
7,2,649.1,278.45,76.57999999999993,41.18000000000001,1,1,1.0
7,3,209.28,251.34,93.13000000000002,40.03999999999999,1,1,1.0
8,1,0.0,358.4,93.57,65.92000000000002,1,1,1.0
8,2,634.77,280.48,77.88,41.18000000000001,1,1,1.0
8,3,209.27,251.41,93.11999999999998,40.03,1,1,1.0
9,1,0.0,362.72,70.51,61.639999999999986,1,1,1.0
9,2,620.45,282.51,79.16999999999996,41.18000000000001,1,1,1.0
9,3,209.26,251.48,93.12,40.03,1,1,1.0
10,1,0.0,367.05,47.46,57.349999999999966,1,1,1.0
10,2,606.12,284.54,80.47000000000003,41.18000000000001,1,1,1.0
10,3,209.25,251.55,93.12,40.02999999999997,1,1,1.0
11,1,0.0,371.37,24.4,56.40999999999997,1,1,1.0
11,2,591.8,286.57,81.75999999999999,41.18000000000001,1,1,1.0
11,3,209.24,251.62,93.12,40.02999999999997,1,1,1.0
12,2,574.93,288.66,83.23000000000002,42.02999999999997,1,1,1.0
12,3,209.23,251.69,93.12000000000003,40.03000000000003,1,1,1.0
13,2,558.07,290.74,84.69999999999993,42.879999999999995,1,1,1.0
13,3,209.22,251.76,93.11999999999998,40.03000000000003,1,1,1.0
14,2,541.2,292.82,86.16999999999996,43.73000000000002,1,1,1.0
14,3,209.21,251.82,93.11999999999998,40.04000000000002,1,1,1.0
15,2,524.33,294.9,87.64999999999998,44.59000000000003,1,1,1.0
15,3,209.19,251.89,93.13,40.03000000000003,1,1,1.0
16,2,507.46,296.99,89.12000000000006,45.43000000000001,1,1,1.0
16,3,209.18,251.96,93.13,40.03,1,1,1.0
17,2,490.6,299.07,90.57999999999993,46.28000000000003,1,1,1.0
17,3,209.17,252.03,93.13000000000002,40.03,1,1,1.0
18,2,473.73,301.15,92.05999999999995,47.14000000000004,1,1,1.0
18,3,209.16,252.1,93.13000000000002,40.03,1,1,1.0
19,2,456.86,303.23,93.52999999999997,47.99000000000001,1,1,1.0
19,3,209.15,252.17,93.12999999999997,40.03,1,1,1.0
20,2,440.0,305.32,95.0,48.829999999999984,1,1,1.0
20,3,209.14,252.23,93.13,40.03999999999999,1,1,1.0
21,2,423.13,307.4,96.47000000000003,49.69,1,1,1.0
21,3,209.13,252.3,93.13,40.02999999999997,1,1,1.0
22,2,403.29,310.81,101.40999999999997,50.30000000000001,1,1,1.0
22,3,209.12,252.37,93.13,40.02999999999997,1,1,1.0
23,2,386.0,314.22,103.39999999999998,50.90999999999997,1,1,1.0
